Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20190102,3907.94,554.47,30,0.061515503,42361558.51,9,1287.2,574.9006623
20190103,3872.14,450.32,33,0.054520861,43529916.42,9,1287.95,559.4322581
20190104,3842.765,488.7,48,0.053644057,41786468.26,9,1290.35,579.7852349
20190105,3884.025,468.45,36,0.060259652,46904866.92,9,1292.93,514.3619632
20190106,3987.125,529.89,31,0.057162533,39548562.59,9,1294.84,626.1914894
20190107,4066.985,500.88,39,0.045538509,39132613.93,9,1291.5,618.1134752
20190108,4073.25,514.08,39,0.039541052,47709037.26,9,1283.9,509.4319527
20190109,4052.955,473.42,42,0.038870107,45871308.73,9,1281.3,525.9268293
20190110,3858.08,697.31,37,0.04649694,43320877.91,9,1292.4,556.5769231
20190111,3673.05,551.64,19,0.042122881,41195175.49,9,1292.8,583.1216216
20190112,3651.66,435.06,22,0.044041517,38468279.8,9,1293.07,623.8768116
20190113,3601.72,452.79,21,0.038783495,39343881.48,8,1293.79,633.4087591
20190114,3646.705,539.93,16,0.032517653,43646215.56,8,1293.7,576
